country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Egypt,,,,,,,,,,,,,,,4.72M,4.62M,4.86M,5.68M,5.78M,6.18M,,,,,
Spain,,,,,,,,,,,,,12.7M,13M,13.8M,14.3M,15.9M,14.9M,13.4M,14M,17.6M,18.3M,20.3M,22.3M,22.8M
Estonia,1.76M,1.55M,1.62M,1.66M,1.78M,1.8M,1.66M,1.85M,2.08M,,,438k,677k,692k,752k,955k,1.05M,1.15M,1.17M,1.43M,1.25M,1.34M,1.28M,2.07M,1.7M
Ethiopia,120k,133k,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,6.67M,6.43M,6.41M,6.57M,6.69M,7.49M,8.24M,9.98M,9.53M,9.78M,10M,10.3M,10.5M,10.5M,10.4M
Fiji,68k,72k,74k,78k,89k,83k,85k,99k,104k,94k,109k,121k,120k,124k,125k,128k,132k,132k,,,,156k,169k,174k,174k
France,,,,,,,,,,,,27.1M,33.1M,31M,30.6M,30M,31.2M,29.6M,30.5M,31.9M,30.6M,29.6M,44.3M,48.1M,49.3M
Gabon,,,,203k,187k,168k,189k,219k,236k,,,,,,,,,,,,,,,,
United Kingdom,41.3M,42M,46M,50.9M,53.9M,56.8M,58.3M,59.4M,61.4M,64.2M,66.5M,69.5M,69.5M,69M,63.5M,64.6M,67.5M,66.9M,69M,72.2M,77.6M,81.8M,87.2M,90.6M,93.1M
Georgia,228k,219k,355k,433k,373k,315k,306k,317k,,466k,857k,1.35M,1.47M,1.87M,1.98M,2.09M,2.24M,2.73M,3.22M,3.11M,3.14M,3.4M,3.85M,3.7M,3.78M
Gambia,,,,,,,,,,,387k,307k,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,3.77M,3.83M,3.8M,4.94M,4.68M,4.59M,5.8M,6.29M,7.24M,7.68M,7.96M,7.85M
Guatemala,333k,333k,331k,391k,485k,488k,580k,629k,658k,854k,982k,1.05M,1.17M,1.28M,651k,694k,718k,721k,846k,992k,1.13M,1.2M,1.33M,1.54M,1.7M
